ProfID,OBJECTID,X_coord,Y_coord
P0350,4968,7575970,4670382
P0351,4969,7578595,4668976
P0352,4970,7575104,4666829
P0353,4971,7574213,4666100
P0354,4972,7577251,4665699
P0356,4973,7582261,4666979
P0357,4974,7585940,4667695
P0358,4975,7585790,4668875
P0359,4976,7573321,4662672
P0360,4977,7570496,4661869
P0361,4978,7572869,4660036
P0362,4979,7570370,4657575
P0363,4980,7576686,4661907
P0364,4981,7574137,4656595
P0365,4982,7579411,4658717
P0366,4983,7580667,4659609
P0367,4984,7578168,4656294
P0368,4985,7573522,4654096
P0369,4986,7580867,4653418
P0370,4987,7587397,4655967
P0371,4988,7584446,4654423
P0372,4989,7586982,4658353
P0373,4990,7585626,4660186
P0374,4991,7582650,4661090
P0375,4992,7587786,4668762
P0376,4993,7587824,4670947
P0377,4994,7589582,4674526
P0378,4995,7588477,4678431
P0351,4996,7586789,4665713
P0380,4997,7579656,4655099
P0381,4998,7589434,4669965
P0382,4999,7590689,4673347
P0383,5000,7594440,4673833
P0384,5001,7598223,4674302
P0385,5002,7598340,4675674
P0386,5003,7601161,4675254
P0387,5004,7595087,4670941
P0388,5005,7597376,4671449
P0389,5006,7602970,4672429
P0390,5007,7605079,4670828
P0391,5008,7608488,4678041
P0392,5009,7607951,4675508
P0393,5010,7595558,4676261
P0394,5011,7590699,4669048
P0395,5012,7590558,4666891
P0396,5013,7596462,4669396
P0397,5014,7599560,4669745
P0398,5015,7602301,4669952
P0399,5016,7601293,4664462
P0400,5017,7592865,4663379
P0401,5018,7595012,4661448
P0402,5019,7595106,4657502
P0403,5020,7600107,4657606
P0404,5021,7602725,4657229
P0405,5022,7602310,4660177
P0406,5023,7594155,4654008
P0407,5024,7596406,4653001
P0391,5025,7604787,4653217
P0409,5026,7607141,4652304
P0410,5027,7605898,4655703
P0411,5028,7605277,4658077
P0412,5029,7604034,4665093
P0413,5030,7606077,4664763
P0414,5031,7608548,4667554
P0415,5032,7610381,4668043
P0416,5033,7614199,4684559
P0417,5034,7616424,4681090
P0418,5035,7617789,4680463
P0419,5036,7612338,4678754
P0420,5037,7612349,4677146
P0421,5038,7615180,4676195
P0422,5039,7618143,4676974
P0423,5040,7619215,4678996
P0424,5041,7619104,4675163
P0425,5042,7612106,4674607
P0426,5043,7612318,4673171
P0427,5044,7620874,4672878
P0428,5045,7622148,4671998
P0429,5046,7622806,4671108
P0430,5047,7623483,4669763
P0431,5048,7623220,4669106
P0432,5049,7612763,4670825
P0433,5050,7612338,4669631
P0434,5051,7613724,4668832
P0435,5052,7613137,4668509
P0436,5053,7612005,4667275
P0437,5054,7616212,4666840
P0438,5055,7616717,4667255
P0439,5056,7617850,4667285
P0440,5057,7617739,4666223
P0441,5058,7619155,4665809
P0442,5059,7621511,4666517
P0443,5060,7614159,4664696
P0444,5061,7613754,4663574
P0445,5062,7616465,4663341
P0446,5063,7618679,4664261
P0447,5064,7615706,4661258
P0448,5065,7612844,4657708
P0449,5066,7613087,4654633
P0450,5067,7625172,4652843
P0451,5068,7513076,4557397
P0452,5069,7513404,4565503
P0453,5070,7508355,4563122
P0454,5071,7508545,4561087
P0455,5072,7511594,4557324
P0456,5073,7510251,4558853
P0457,5074,7509203,4556833
P0458,5075,7512637,4562453
P0459,5076,7511881,4564447
P0460,5077,7509226,4565908
P0461,5078,7516124,4565089
P0462,5079,7516137,4563228
P0463,5080,7518100,4566963
P0464,5081,7519662,4566512
P0465,5082,7517973,4564689
P0466,5083,7518455,4562301
P0467,5084,7516944,4561684
P0468,5085,7516721,4559601
P0469,5086,7513768,4556711
P0470,5087,7517071,4556978
P0471,5088,7519262,4557505
P0472,5089,7521142,4557353
P0473,5090,7523530,4557378
P0474,5091,7526871,4556756
P0475,5092,7526160,4559677
P0476,5093,7524432,4561596
P0477,5094,7521803,4561062
P0478,5095,7521771,4563463
P0479,5096,7522190,4565680
P0480,5097,7524331,4564282
P0481,5098,7522535,4556961
P0482,5099,7515887,4559281
P0483,5100,7519597,4564481
P0484,5101,7519224,4560137
P0485,5102,7515483,4565830
P0486,5103,7486386,4648357
P0488,5104,7486132,4649864
P0489,5105,7486217,4646341
P0490,5106,7485344,4643039
P0491,5107,7484286,4644055
P0492,5108,7484269,4640575
P0493,5109,7486106,4640118
P0494,5110,7486250,4635596
P0495,5111,7482432,4634910
P0496,5112,7483228,4631879
P0497,5113,7485040,4629728
P0498,5114,7486403,4628848
P0499,5115,7474023,4631261
P0500,5116,7474912,4631540
P0501,5117,7503404,4648652
P0502,5118,7498548,4649334
P0503,5119,7496432,4649121
P0504,5120,7495815,4646893
P0505,5121,7496898,4644628
P0506,5122,7495503,4644977
P0507,5123,7494987,4643273
P0508,5124,7494090,4640533
P0509,5125,7492707,4638747
P0510,5126,7494230,4638597
P0511,5127,7501651,4648862
P0512,5128,7500581,4648390
P0513,5129,7499354,4648309
P0514,5130,7497835,4647519
P0515,5131,7498698,4646142
P0516,5132,7499482,4644979
P0517,5133,7500818,4644775
P0518,5134,7500571,4642221
P0519,5135,7501863,4641031
P0520,5136,7498779,4643264
P0521,5137,7496342,4641658
P0522,5138,7497331,4640729
P0523,5139,7496836,4639141
P0524,5140,7497598,4636717
P0525,5141,7499687,4635911
P0526,5142,7498882,4633791
P0527,5143,7496938,4634524
P0528,5144,7496182,4633201
P0529,5145,7494392,4633365
P0530,5146,7495166,4630575
P0531,5147,7491019,4626966
P0532,5148,7490487,4628936
P0533,5149,7489767,4630986
P0534,5150,7491908,4630601
P0535,5151,7493322,4629050
P0536,5152,7492375,4632383
P0537,5153,7491385,4632048
P0538,5154,7491367,4634629
P0539,5155,7492702,4635215
P0540,5156,7494701,4634841
P0541,5157,7492722,4637012
P0542,5158,7494885,4637328
P0543,5159,7488373,4646118
P0544,5160,7489261,4645496
P0545,5161,7490854,4645288
P0546,5162,7491982,4643828
P0547,5163,7492588,4642965
P0548,5164,7492522,4641472
P0549,5165,7491352,4637929
P0550,5166,7490456,4638377
P0551,5167,7489219,4637539
P0553,5168,7487278,4635274
P0554,5169,7488713,4634685
P0555,5170,7489244,4633224
P0556,5171,7487494,4632320
P0557,5172,7491252,4624139
P0564,5173,7502926,4633548
P0569,5174,7501292,4638692
P0577,5175,7473250,4619540
P0578,5176,7477881,4619443
P0579,5177,7481694,4620426
P0580,5178,7480330,4617943
P0581,5179,7478448,4617288
P0582,5180,7478848,4615934
P0583,5181,7470064,4614497
P0584,5182,7466772,4613042
P0585,5183,7465763,4609105
P0586,5184,7474229,4610996
P0587,5185,7475138,4611242
P0589,5186,7475756,4610787
P0590,5187,7476856,4609987
P0591,5188,7477566,4613842
P0592,5189,7477557,4607923
P0593,5190,7466354,4608068
P0594,5191,7467873,4606341
P0595,5192,7468718,4604959
P0596,5193,7467291,4600148
P0597,5194,7469846,4599466
P0598,5195,7473801,4601221
P0599,5196,7472765,4602449
P0600,5197,7474101,4602931
P0601,5198,7475120,4601612
P0602,5199,7475902,4599667
P0604,5200,7474492,4597739
P0605,5201,7477475,4600667
P0608,5202,7479166,4599412
P0609,5203,7483285,4605450
P0610,5204,7482921,4605786
P0611,5205,7476402,4606377
P0612,5206,7480103,4608159
P0613,5207,7481803,4607159
P0614,5208,7482239,4606477
P0615,5209,7483049,4610796
P0616,5210,7481794,4611833
P0617,5211,7483594,4612497
P0618,5212,7484358,4618571
P0619,5213,7484285,4621017
P0620,5214,7487383,4614611
P0622,5215,7490961,4614343
P0623,5216,7496722,4614444
P0624,5217,7496759,4613529
P0625,5218,7497055,4612872
P0626,5219,7486615,4612124
P0627,5220,7491294,4612105
P0628,5221,7489722,4610034
P0629,5222,7487429,4609387
P0630,5223,7489907,4608212
P0631,5224,7486699,4605438
P0632,5225,7489759,4604616
P0633,5226,7490508,4602665
P0634,5227,7489787,4600677
